Pair	Hardness
iu	0
iɜ	0
iɔ	0
ia	0
if	0
iv	0
in	0
it	0
id	0
is	0
iz	0
iʃ	0
ik	0
um	0
uf	0
uv	0
un	0
ut	0
ud	0
us	0
uz	0
ul	0
uʃ	0
uk	0
ɜm	0
ɜp	0
ɜb	0
ɜf	0
ɜv	0
ɜn	0
ɜt	0
ɜd	0
ɜs	0
ɜz	0
ɜl	0
ɜʃ	0
ɜʒ	0
ɜk	0
ɜg	0
ɔm	0
ɔp	0
ɔb	0
ɔf	0
ɔv	0
ɔn	0
ɔt	0
ɔd	0
ɔs	0
ɔz	0
ɔl	0
ɔʃ	0
ɔk	0
ɔg	0
am	0
ap	0
ab	0
af	0
av	0
an	0
at	0
ad	0
as	0
az	0
ar	0
al	0
aʃ	0
ak	0
ag	0
pr	0
pl	0
fr	0
fl	0
ts	0
tʃ	0
sk	0
ɜi	0
ɔi	0
ai	0
mi	0
pi	0
bi	0
fi	0
vi	0
ni	0
ti	0
di	0
si	0
zi	0
ri	0
li	0
ʃi	0
ʒi	0
ki	0
gi	0
hi	0
mu	0
pu	0
bu	0
fu	0
vu	0
nu	0
tu	0
du	0
su	0
zu	0
ru	0
lu	0
ʃu	0
ʒu	0
ku	0
gu	0
hu	0
mɜ	0
pɜ	0
bɜ	0
fɜ	0
vɜ	0
nɜ	0
tɜ	0
dɜ	0
sɜ	0
zɜ	0
rɜ	0
lɜ	0
ʃɜ	0
ʒɜ	0
kɜ	0
gɜ	0
hɜ	0
mɔ	0
pɔ	0
bɔ	0
fɔ	0
vɔ	0
nɔ	0
tɔ	0
dɔ	0
sɔ	0
zɔ	0
rɔ	0
lɔ	0
ʃɔ	0
ʒɔ	0
kɔ	0
hɔ	0
ma	0
pa	0
ba	0
fa	0
va	0
na	0
ta	0
da	0
sa	0
za	0
ra	0
la	0
ʃa	0
ʒa	0
ka	0
ga	0
ha	0
sm	0
zm	0
sp	0
sf	0
sn	0
st	0
ks	0
kr	0
gr	0
kl	0
gl	0
im	1
ip	1
ib	1
il	1
iʒ	1
ig	1
uɜ	1
ua	1
up	1
ub	1
ur	1
uʒ	1
ug	1
ɔr	1
ɔʒ	1
aʒ	1
aŋ	1
bl	1
nt	1
nd	1
nk	1
tr	1
dz	1
dʒ	1
sl	1
lk	1
lg	1
ui	1
xi	1
au	1
xɜ	1
gɔ	1
χa	1
ʃm	1
ʃt	1
rd	1
ld	1
ls	1
ʃl	1
ir	2
ix	2
uq	2
ɜɔ	2
ɜr	2
ɜŋ	2
ɜx	2
ɔŋ	2
ɔq	2
ax	2
ps	2
pʃ	2
br	2
ft	2
ns	2
nz	2
dr	2
rk	2
ŋi	2
ɣi	2
ɜu	2
ɔu	2
ɔɜ	2
ŋɜ	2
ɣɜ	2
qɜ	2
aɔ	2
ŋɔ	2
qɔ	2
χɔ	2
ŋa	2
qa	2
rp	2
lp	2
rb	2
lb	2
tf	2
rf	2
lf	2
rv	2
lv	2
zn	2
ʃn	2
ʒn	2
lz	2
ʃr	2
ʒr	2
iŋ	3
uɔ	3
uŋ	3
uχ	3
ɜa	3
ɜɣ	3
ɜq	3
ɜχ	3
ɔx	3
ɔχ	3
aq	3
aχ	3
mp	3
mf	3
mt	3
mz	3
fs	3
fʃ	3
vr	3
vl	3
nʃ	3
nʒ	3
ng	3
zl	3
rʃ	3
lʃ	3
lʒ	3
ŋg	3
qi	3
ŋu	3
xu	3
ɣu	3
qu	3
χu	3
aɜ	3
χɜ	3
xa	3
ɣa	3
ʃp	3
zb	3
nf	3
kf	3
kn	3
rt	3
lt	3
zd	3
ʒd	3
rs	3
rz	3
ʒl	3
kʃ	3
iɣ	4
iq	4
iχ	4
iʔ	4
ih	4
ux	4
ɜʔ	4
ɜh	4
ɔa	4
ɔɣ	4
ɔh	4
aɣ	4
aʔ	4
mb	4
mv	4
md	4
mk	4
pf	4
pʒ	4
bz	4
bʒ	4
fk	4
vʒ	4
nx	4
tl	4
sr	4
sq	4
rl	4
rg	4
rq	4
lŋ	4
ʃk	4
χi	4
xɔ	4
ɣɔ	4
ʒm	4
fp	4
ʃf	4
nv	4
dv	4
zv	4
ʒv	4
kv	4
ŋt	4
xt	4
gz	4
xl	4
uɣ	5
uʔ	5
uh	5
ɔʔ	5
ah	5
mʃ	5
mʒ	5
mg	5
pt	5
fʒ	5
vn	5
vd	5
vz	5
nq	5
tʒ	5
tŋ	5
dl	5
sg	5
sx	5
zr	5
rʒ	5
rŋ	5
rx	5
lx	5
ŋk	5
kx	5
gχ	5
ʔi	5
ʔu	5
ʔɜ	5
vm	5
lm	5
np	5
ʒb	5
ŋf	5
qf	5
gv	5
gn	5
xn	5
qn	5
ʒt	5
gs	5
ŋr	5
xr	5
qr	5
ɣl	5
gʒ	5
mn	6
ms	6
mx	6
mɣ	6
mq	6
pv	6
pz	6
px	6
pχ	6
bv	6
bʃ	6
bx	6
fn	6
fd	6
fŋ	6
fg	6
